protectzonetype,numerosity,type,key_resp.rt,key_resp.keys,blocks_rm.thisN,rotation_index,participant,sex,posis,age,reportedN,deviation,avg_ecc
tangential,5.0,far,0.4025093999998717,num_6,3.0,10.0,976325.0,male,"[(-154.8563850798539, 152.73506473629428), (-139.02207005882283, 178.09076338612942), (-180.6145460629544, 139.71612339652523), (-321.7335854398791, 343.6538956566621), (-295.95311779812215, 396.78349970043064)]",22.0,6,1.0,8.94094377235836
radial,4.0,far,0.9864325000016834,num_5,0.0,18.0,652172.0,male,"[(-51.41025562991085, -193.79753769350947), (-61.328962280555075, -164.8241498465711), (-53.410271416443074, -218.11361672286347), (-89.34765774939319, -344.50726269614887)]",24.0,5,1.0,6.530347973875516
tangential,6.0,both,1.0654261999989103,num_7,3.0,12.0,438116.0,male,"[(-418.1511484376758, 110.49034826740674), (-407.1173574170424, 174.71946563750384), (-461.04000169526546, 62.26268196572892), (-196.2977954190321, 61.39768329202515), (-203.73477100336996, 88.3014660991512), (-216.80073885413867, 26.274364540705154)]",40.0,7,1.0,9.040227700896875
radial,3.0,close,0.495737300003384,num_3,3.0,8.0,3473.0,female,"[(-46.580626498465556, 195.09163291902206), (-33.576334066975186, 176.05390784414828), (-46.48341707041439, 216.42851544716564)]",23.0,3,0.0,5.470615024653368
tangential,6.0,both,0.6811774000007063,num_6,0.0,16.0,457930.0,female,"[(-315.36962440920024, -320.319371877506), (-391.4442084209352, -290.6805533698992), (-284.8647489495063, -375.38947172793576), (-182.43354954612929, -184.5548698896889), (-224.52316611438957, -167.03774353731495), (-154.90634120834034, -215.57482962071154)]",22.0,6,0.0,10.069729636106782
radial,4.0,close,0.2274748999998337,num_3,1.0,3.0,375447.0,female,"[(344.0931742156677, 205.0131397208144), (268.2037762832445, 182.77816882793476), (404.6428781860838, 246.68423979653767), (170.0974346440504, 72.58242606239074)]",22.0,3,-1.0,9.4454245405524
tangential,6.0,both,0.9616483999998308,num_5,0.0,11.0,375447.0,female,"[(-386.60021577082966, 213.38878406783223), (-328.27226519650145, 253.62499066759617), (-448.015147718221, 141.09725650309773), (-205.56500799501976, 116.95096189432333), (-182.50124556799315, 155.29109718201045), (-218.40204328420813, 87.01593442633128)]",22.0,5,-1.0,9.269976907044372
radial,5.0,far,0.6229958999992959,num_5,0.0,15.0,438116.0,male,"[(-221.68936364800186, -117.02275866404786), (-185.5675166112449, -117.53463281709475), (-275.9269622402896, -145.96237411125065), (-381.77008875190745, -211.75480947161677), (-429.8066672886206, -262.61640112095523)]",40.0,5,0.0,9.406188316908935
tangential,4.0,close,0.9658183999999892,num_4,0.0,15.0,457930.0,female,"[(-301.389980237799, -184.9772413359522), (-330.7214490898985, -134.50669104514353), (-258.224695502454, -200.54099438328632), (-170.38429757860183, -130.4931856937211)]",22.0,4,0.0,8.546402176633983
radial,6.0,both,0.8950277000003553,num_4,1.0,10.0,976325.0,male,"[(-280.01428534987275, 256.6797615707168), (-215.14589101834918, 192.54442695537702), (-318.7922321522679, 294.34550075989245), (-156.27059864222701, 152.73506473629428), (-125.84518902149895, 115.78638544368093), (-176.55512586288296, 186.59994023211672)]",22.0,4,-2.0,7.957446443736995
radial,6.0,both,1.10048420000021,num_7,2.0,23.0,994697.0,female,"[(336.9066407361944, -175.46058083755693), (257.64913727899943, -130.2997806331277), (384.1118716931144, -201.8064199242178), (190.47655072689977, -107.08493649053901), (151.52483990650123, -79.26992837942151), (218.8347741817395, -134.54587237041144)]",19.0,7,1.0,7.957446443736995
tangential,3.0,far,0.6749260999999933,num_3,0.0,1.0,521631.0,female,"[(216.5, -7.5), (233.3771478249729, -31.423080861081132), (217.74713291676588, 34.44621601420184)]",25.0,3,0.0,6.120367701807394
radial,5.0,far,0.5154534999983298,num_6,3.0,4.0,894268.0,female,"[(161.92745289171938, 158.39191898578667), (131.45110345306432, 157.34273024653305), (194.56210329978595, 166.4839312234955), (266.57925650732847, 289.9137802864845), (232.13844841307142, 235.60151922641805)]",24.0,6,1.0,7.710649361797702
