center1,center2,far_base,close_base,far_ecc,close_ecc
"[(390.5, 7.5)]","[(212.5, 6.5)]","[(390.5, 7.5)]","[(212.5, 6.5)]",390.5720164067057,212.59938852216862
"[(385.5, 15.5)]","[(209.5, 2.5)]","[(385.5, 15.5)]","[(209.5, 2.5)]",385.8114824626141,209.51491593678958
"[(220.5, 8.5)]","[(374.5, -0.5)]","[(374.5, -0.5)]","[(220.5, 8.5)]",374.5003337782224,220.6637713808046
"[(464.5, -4.5)]","[(278.5, 9.5)]","[(464.5, -4.5)]","[(278.5, 9.5)]",464.52179712043653,278.6619816193088
"[(469.5, 17.5)]","[(221.5, -4.5)]","[(469.5, 17.5)]","[(221.5, -4.5)]",469.8260316329865,221.54570634521446
"[(387.5, -14.5)]","[(201.5, -7.5)]","[(387.5, -14.5)]","[(201.5, -7.5)]",387.7711954232805,201.63952985463936
"[(397.5, -7.5)]","[(225.5, 5.5)]","[(397.5, -7.5)]","[(225.5, 5.5)]",397.57074842095716,225.56706319850866
"[(247.5, 0.5)]","[(430.5, 13.5)]","[(430.5, 13.5)]","[(247.5, 0.5)]",430.71162046083685,247.50050504998975
"[(424.5, 17.5)]","[(210.5, -8.5)]","[(424.5, 17.5)]","[(210.5, -8.5)]",424.86056536233156,210.67154530215987
"[(391.5, -5.5)]","[(225.5, 2.5)]","[(391.5, -5.5)]","[(225.5, 2.5)]",391.5386315550485,225.5138576673283
"[(433.5, 14.5)]","[(219.5, 6.5)]","[(433.5, 14.5)]","[(219.5, 6.5)]",433.7424350925328,219.59622036820215
"[(449.5, 13.5)]","[(237.5, -0.5)]","[(449.5, 13.5)]","[(237.5, -0.5)]",449.7026795561708,237.5005263152063
"[(464.5, 6.5)]","[(265.5, 9.5)]","[(464.5, 6.5)]","[(265.5, 9.5)]",464.54547678348996,265.66990796851644
"[(224.5, 0.5)]","[(439.5, -14.5)]","[(439.5, -14.5)]","[(224.5, 0.5)]",439.73912721066796,224.50055679218258
"[(394.5, 6.5)]","[(208.5, 3.5)]","[(394.5, 6.5)]","[(208.5, 3.5)]",394.5535451621237,208.52937442959924
"[(455.5, 8.5)]","[(256.5, -0.5)]","[(455.5, 8.5)]","[(256.5, -0.5)]",455.57930154913754,256.50048732897176
"[(492.5, 1.5)]","[(222.5, -7.5)]","[(492.5, 1.5)]","[(222.5, -7.5)]",492.5022842586621,222.62636860893187
"[(476.5, -2.5)]","[(216.5, -1.5)]","[(476.5, -2.5)]","[(216.5, -1.5)]",476.50655819201484,216.50519624249208
"[(294.5, -4.5)]","[(495.5, -0.5)]","[(495.5, -0.5)]","[(294.5, -4.5)]",495.5002522703697,294.5343782990366
"[(489.5, -12.5)]","[(254.5, 0.5)]","[(489.5, -12.5)]","[(254.5, 0.5)]",489.6595756237184,254.50049115866162
"[(473.5, 11.5)]","[(263.5, 10.5)]","[(473.5, 11.5)]","[(263.5, 10.5)]",473.6396309431887,263.70912005465414
"[(274.5, 8.5)]","[(500.5, 16.5)]","[(500.5, 16.5)]","[(274.5, 8.5)]",500.77190416396166,274.6315713824614
"[(477.5, 0.5)]","[(245.5, 7.5)]","[(477.5, 0.5)]","[(245.5, 7.5)]",477.50026178003293,245.61453540049294
"[(276.5, 11.5)]","[(485.5, -19.5)]","[(485.5, -19.5)]","[(276.5, 11.5)]",485.89144878254444,276.7390467570487
"[(236.5, -3.5)]","[(402.5, -4.5)]","[(402.5, -4.5)]","[(236.5, -3.5)]",402.52515449348004,236.52589710219894
"[(286.5, -10.5)]","[(505.5, -4.5)]","[(505.5, -4.5)]","[(286.5, -10.5)]",505.5200292767835,286.692343811271
"[(346.5, -8.5)]","[(201.5, -6.5)]","[(346.5, -8.5)]","[(201.5, -6.5)]",346.6042411742822,201.60481145052069
"[(421.5, 1.5)]","[(229.5, 1.5)]","[(421.5, 1.5)]","[(229.5, 1.5)]",421.5026690306955,229.5049019084342
"[(365.5, -11.5)]","[(211.5, 7.5)]","[(365.5, -11.5)]","[(211.5, 7.5)]",365.6808717994421,211.6329369450795
"[(409.5, -9.5)]","[(216.5, 1.5)]","[(409.5, -9.5)]","[(216.5, 1.5)]",409.61018053754475,216.50519624249208
"[(489.5, -12.5)]","[(254.5, 0.5)]","[(489.5, -12.5)]","[(254.5, 0.5)]",489.6595756237184,254.50049115866162
"[(387.5, 14.5)]","[(215.5, -8.5)]","[(387.5, 14.5)]","[(215.5, -8.5)]",387.7711954232805,215.667568261897
"[(361.5, -14.5)]","[(201.5, 0.5)]","[(361.5, -14.5)]","[(201.5, 0.5)]",361.7906853416765,201.50062034643963
"[(386.5, -2.5)]","[(201.5, 4.5)]","[(386.5, -2.5)]","[(201.5, 4.5)]",386.50808529706075,201.55024187532
"[(353.5, 9.5)]","[(212.5, -8.5)]","[(353.5, 9.5)]","[(212.5, -8.5)]",353.6276290110828,212.66993205434565
"[(503.5, -19.5)]","[(252.5, 6.5)]","[(503.5, -19.5)]","[(252.5, 6.5)]",503.8774652631332,252.58364951041466
"[(459.5, 1.5)]","[(253.5, 4.5)]","[(459.5, 1.5)]","[(253.5, 4.5)]",459.5024483068616,253.53993768240932
"[(386.5, -6.5)]","[(221.5, 9.5)]","[(386.5, -6.5)]","[(221.5, 9.5)]",386.5546533156728,221.7036310031931
"[(371.5, -12.5)]","[(209.5, 1.5)]","[(371.5, -12.5)]","[(209.5, 1.5)]",371.7102366091093,209.5053698595814
"[(364.5, -8.5)]","[(213.5, -1.5)]","[(364.5, -8.5)]","[(213.5, -1.5)]",364.5990948973955,213.50526925581954
"[(359.5, 1.5)]","[(212.5, -3.5)]","[(359.5, 1.5)]","[(212.5, -3.5)]",359.5031293326944,212.52882157486312
"[(490.5, -16.5)]","[(251.5, 3.5)]","[(490.5, -16.5)]","[(251.5, 3.5)]",490.7774444694866,251.524352697706
"[(425.5, 3.5)]","[(216.5, -7.5)]","[(425.5, 3.5)]","[(216.5, -7.5)]",425.51439458612913,216.6298686700428
"[(490.5, -17.5)]","[(249.5, -0.5)]","[(490.5, -17.5)]","[(249.5, -0.5)]",490.81208216587333,249.500501001501
"[(466.5, -9.5)]","[(203.5, -2.5)]","[(466.5, -9.5)]","[(203.5, -2.5)]",466.5967209486153,203.51535568600224
"[(487.5, 14.5)]","[(291.5, -4.5)]","[(487.5, 14.5)]","[(291.5, -4.5)]",487.7155933533395,291.5347320646375
"[(227.5, -2.5)]","[(397.5, 2.5)]","[(397.5, 2.5)]","[(227.5, -2.5)]",397.50786155747915,227.51373584906912
"[(494.5, 16.5)]","[(227.5, -2.5)]","[(494.5, 16.5)]","[(227.5, -2.5)]",494.77520148042987,227.51373584906912
"[(394.5, 10.5)]","[(204.5, -8.5)]","[(394.5, 10.5)]","[(204.5, -8.5)]",394.6397091018591,204.67657413587906
"[(390.5, -6.5)]","[(200.5, -1.5)]","[(390.5, -6.5)]","[(200.5, -1.5)]",390.5540935645151,200.50561089405952
"[(418.5, -16.5)]","[(201.5, -1.5)]","[(418.5, -16.5)]","[(201.5, -1.5)]",418.8251425117647,201.50558304920486
"[(378.5, 1.5)]","[(218.5, 6.5)]","[(378.5, 1.5)]","[(218.5, 6.5)]",378.5029722472467,218.59666054173837
"[(357.5, 7.5)]","[(206.5, -3.5)]","[(357.5, 7.5)]","[(206.5, -3.5)]",357.5786626743827,206.52965888704702
"[(389.5, -15.5)]","[(218.5, 9.5)]","[(389.5, -15.5)]","[(218.5, 9.5)]",389.8082862125945,218.70642423120543
"[(439.5, 12.5)]","[(211.5, 0.5)]","[(439.5, 12.5)]","[(211.5, 0.5)]",439.6777228834775,211.5005910157227
"[(377.5, -1.5)]","[(216.5, 4.5)]","[(377.5, -1.5)]","[(216.5, 4.5)]",377.50298012068725,216.54676169363512
"[(391.5, -5.5)]","[(225.5, 2.5)]","[(391.5, -5.5)]","[(225.5, 2.5)]",391.5386315550485,225.5138576673283
"[(511.5, -15.5)]","[(202.5, -3.5)]","[(511.5, -15.5)]","[(202.5, -3.5)]",511.73479459579454,202.53024465496506
"[(360.5, 15.5)]","[(216.5, -2.5)]","[(360.5, 15.5)]","[(216.5, -2.5)]",360.8330638952035,216.5144336990031
"[(368.5, 6.5)]","[(205.5, -7.5)]","[(368.5, 6.5)]","[(205.5, -7.5)]",368.5573225429119,205.6368157699394
"[(471.5, 3.5)]","[(281.5, 5.5)]","[(471.5, 3.5)]","[(281.5, 5.5)]",471.5129902770442,281.55372489100546
"[(493.5, -5.5)]","[(253.5, -3.5)]","[(493.5, -5.5)]","[(253.5, -3.5)]",493.53064747794537,253.52416058435142
"[(342.5, 8.5)]","[(203.5, 7.5)]","[(342.5, 8.5)]","[(203.5, 7.5)]",342.6054582168825,203.6381594888345
"[(300.5, -10.5)]","[(503.5, -14.5)]","[(503.5, -14.5)]","[(300.5, -10.5)]",503.7087452089749,300.6833883007174
"[(353.5, 9.5)]","[(212.5, -8.5)]","[(353.5, 9.5)]","[(212.5, -8.5)]",353.6276290110828,212.66993205434565
