n,winsize,numerosity,protectzonetype,centralposis,extraposis,center1,extra1,n3_posis_close,center2,extra2,n3_posis_far,center3,extra3,n4_posis_close,n4_posis_far,n4_posis_both,n5_posis_close,n5_posis_far,source_file,source_pos_column,posis,derived_numerosity,type,rotated_posis_1,rotated_posis_2,rotated_posis_3,rotated_posis_4,rotated_posis_5,rotated_posis_6,rotated_posis_7,rotated_posis_8
411,1,3,tangential,"[(390.5, 7.5), (212.5, 6.5)]","[(374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147), (212.2409085248637, -36.74312896193538), (195.63077875178305, 36.61759928354331)]","[(390.5, 7.5)]","[(374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147)]","[(390.5, 7.5), (374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147)]","[(212.5, 6.5)]","[(212.2409085248637, -36.74312896193538), (195.63077875178305, 36.61759928354331)]","[(212.5, 6.5), (212.2409085248637, -36.74312896193538), (195.63077875178305, 36.61759928354331)]",,,"[(390.5, 7.5), (374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147), (195.63077875178305, 36.61759928354331)]","[(212.5, 6.5), (212.2409085248637, -36.74312896193538), (195.63077875178305, 36.61759928354331), (390.5, 7.5)]","[(390.5, 7.5), (212.5, 6.5), (363.21562473108804, 61.86315995508147), (212.2409085248637, -36.74312896193538)]","[(390.5, 7.5), (374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147), (212.5, 6.5), (212.2409085248637, -36.74312896193538)]","[(212.5, 6.5), (212.2409085248637, -36.74312896193538), (195.63077875178305, 36.61759928354331), (390.5, 7.5), (374.45565059204927, -62.924514215027955)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(390.5, 7.5), (374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147)]",3,close,"[(390.5, 7.5), (374.45565059204927, -62.924514215027955), (363.21562473108804, 61.86315995508147)]","[(270.82189719444773, 281.4284989122459), (309.2744804915741, 220.28577908294292), (213.08837137039447, 300.5760911901268)]","[(-7.499999999999976, 390.5), (62.924514215027976, 374.45565059204927), (-61.86315995508145, 363.21562473108804)]","[(-281.42849891224586, 270.82189719444773), (-220.28577908294287, 309.2744804915741), (-300.5760911901268, 213.08837137039447)]","[(-390.5, -7.499999999999952), (-374.45565059204927, 62.924514215028), (-363.21562473108804, -61.86315995508143)]","[(-270.8218971944478, -281.42849891224586), (-309.2744804915741, -220.28577908294284), (-213.08837137039453, -300.5760911901268)]","[(7.499999999999928, -390.5), (-62.924514215028026, -374.45565059204927), (61.86315995508141, -363.21562473108804)]","[(281.42849891224586, -270.8218971944478), (220.28577908294284, -309.2744804915741), (300.57609119012676, -213.08837137039455)]"
935,1,3,tangential,"[(385.5, 15.5), (209.5, 2.5)]","[(414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398), (217.9805736195944, -42.359676686427065), (202.73629999066273, 36.18303429150731)]","[(385.5, 15.5)]","[(414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398)]","[(385.5, 15.5), (414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398)]","[(209.5, 2.5)]","[(217.9805736195944, -42.359676686427065), (202.73629999066273, 36.18303429150731)]","[(209.5, 2.5), (217.9805736195944, -42.359676686427065), (202.73629999066273, 36.18303429150731)]",,,"[(385.5, 15.5), (414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398), (217.9805736195944, -42.359676686427065)]","[(209.5, 2.5), (217.9805736195944, -42.359676686427065), (202.73629999066273, 36.18303429150731), (414.1553789691199, -35.028746761114576)]","[(385.5, 15.5), (209.5, 2.5), (375.5517452731013, 102.34353630183398), (202.73629999066273, 36.18303429150731)]","[(385.5, 15.5), (414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398), (209.5, 2.5), (202.73629999066273, 36.18303429150731)]","[(209.5, 2.5), (217.9805736195944, -42.359676686427065), (202.73629999066273, 36.18303429150731), (385.5, 15.5), (375.5517452731013, 102.34353630183398)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(385.5, 15.5), (414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398)]",3,close,"[(385.5, 15.5), (414.1553789691199, -35.028746761114576), (375.5517452731013, 102.34353630183398)]","[(261.62950903902265, 283.5498192558056), (317.62114130519956, 268.08301256269874), (193.1873772394145, 337.9229942986913)]","[(-15.499999999999977, 385.5), (35.028746761114604, 414.1553789691199), (-102.34353630183395, 375.5517452731013)]","[(-283.5498192558055, 261.62950903902265), (-268.0830125626987, 317.62114130519956), (-337.92299429869126, 193.1873772394145)]","[(-385.5, -15.499999999999952), (-414.1553789691199, 35.028746761114625), (-375.5517452731013, -102.34353630183394)]","[(-261.62950903902265, -283.5498192558056), (-317.6211413051996, -268.0830125626986), (-193.1873772394145, -337.92299429869126)]","[(15.499999999999929, -385.5), (-35.028746761114654, -414.1553789691199), (102.34353630183391, -375.5517452731013)]","[(283.54981925580546, -261.62950903902265), (268.0830125626986, -317.6211413051996), (337.9229942986912, -193.18737723941453)]"
385,1,3,tangential,"[(220.5, 8.5), (374.5, -0.5)]","[(228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304), (378.1670287076904, -86.05689585885943), (403.90032311890195, 42.70552086380934)]","[(220.5, 8.5)]","[(228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304)]","[(220.5, 8.5), (228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304)]","[(374.5, -0.5)]","[(378.1670287076904, -86.05689585885943), (403.90032311890195, 42.70552086380934)]","[(374.5, -0.5), (378.1670287076904, -86.05689585885943), (403.90032311890195, 42.70552086380934)]",,,"[(220.5, 8.5), (228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304), (374.5, -0.5)]","[(374.5, -0.5), (378.1670287076904, -86.05689585885943), (403.90032311890195, 42.70552086380934), (220.5, 8.5)]","[(220.5, 8.5), (374.5, -0.5), (207.52591542167784, 33.266665073758304), (403.90032311890195, 42.70552086380934)]","[(220.5, 8.5), (228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304), (374.5, -0.5), (403.90032311890195, 42.70552086380934)]","[(374.5, -0.5), (378.1670287076904, -86.05689585885943), (403.90032311890195, 42.70552086380934), (220.5, 8.5), (228.15261103104766, -30.060082244007646)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(220.5, 8.5), (228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304)]",3,close,"[(220.5, 8.5), (228.15261103104766, -30.060082244007646), (207.52591542167784, 33.266665073758304)]","[(149.9066376115481, 161.92745289171938), (182.58394640323365, 140.07257040770736), (123.21989760549815, 170.26606652773052)]","[(-8.499999999999986, 220.5), (30.06008224400766, 228.15261103104766), (-33.26666507375829, 207.52591542167784)]","[(-161.92745289171935, 149.9066376115481), (-140.07257040770733, 182.58394640323365), (-170.2660665277305, 123.21989760549816)]","[(-220.5, -8.499999999999973), (-228.15261103104766, 30.060082244007674), (-207.52591542167784, -33.266665073758276)]","[(-149.90663761154812, -161.92745289171935), (-182.58394640323368, -140.07257040770733), (-123.21989760549819, -170.2660665277305)]","[(8.49999999999996, -220.5), (-30.06008224400769, -228.15261103104766), (33.26666507375827, -207.52591542167784)]","[(161.92745289171933, -149.90663761154812), (140.0725704077073, -182.58394640323365), (170.26606652773046, -123.21989760549819)]"
388,1,3,tangential,"[(464.5, -4.5), (278.5, 9.5)]","[(425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005), (275.722264713559, -56.59256887836881), (263.7150932326688, 39.69011992871961)]","[(464.5, -4.5)]","[(425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005)]","[(464.5, -4.5), (425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005)]","[(278.5, 9.5)]","[(275.722264713559, -56.59256887836881), (263.7150932326688, 39.69011992871961)]","[(278.5, 9.5), (275.722264713559, -56.59256887836881), (263.7150932326688, 39.69011992871961)]",,,"[(464.5, -4.5), (425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005), (275.722264713559, -56.59256887836881)]","[(278.5, 9.5), (275.722264713559, -56.59256887836881), (263.7150932326688, 39.69011992871961), (459.64073172996126, 49.677741837403005)]","[(464.5, -4.5), (278.5, 9.5), (459.64073172996126, 49.677741837403005), (275.722264713559, -56.59256887836881)]","[(464.5, -4.5), (425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005), (278.5, 9.5), (275.722264713559, -56.59256887836881)]","[(278.5, 9.5), (275.722264713559, -56.59256887836881), (263.7150932326688, 39.69011992871961), (464.5, -4.5), (425.43974080464136, -61.94429218804328)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(464.5, -4.5), (425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005)]",3,close,"[(464.5, -4.5), (425.43974080464136, -61.94429218804328), (459.64073172996126, 49.677741837403005)]","[(331.63308037649085, 325.2691193458119), (344.63255477117536, 257.0300966472428), (289.88761018854, 360.14254644306465)]","[(4.500000000000028, 464.5), (61.944292188043306, 425.43974080464136), (-49.677741837402976, 459.64073172996126)]","[(-325.2691193458118, 331.63308037649085), (-257.0300966472427, 344.63255477117536), (-360.1425464430646, 289.88761018854)]","[(-464.5, 4.500000000000057), (-425.43974080464136, 61.94429218804333), (-459.64073172996126, -49.67774183740295)]","[(-331.6330803764909, -325.2691193458118), (-344.6325547711754, -257.0300966472427), (-289.88761018854007, -360.1425464430646)]","[(-4.500000000000085, -464.5), (-61.944292188043356, -425.43974080464136), (49.67774183740292, -459.64073172996126)]","[(325.26911934581176, -331.6330803764909), (257.03009664724266, -344.6325547711754), (360.14254644306453, -289.88761018854007)]"
393,1,3,tangential,"[(469.5, 17.5), (221.5, -4.5)]","[(445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837), (218.21543051909586, -58.459570454710786), (218.9794813610701, 49.30761412721711)]","[(469.5, 17.5)]","[(445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837)]","[(469.5, 17.5), (445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837)]","[(221.5, -4.5)]","[(218.21543051909586, -58.459570454710786), (218.9794813610701, 49.30761412721711)]","[(221.5, -4.5), (218.21543051909586, -58.459570454710786), (218.9794813610701, 49.30761412721711)]",,,"[(469.5, 17.5), (445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837), (221.5, -4.5)]","[(221.5, -4.5), (218.21543051909586, -58.459570454710786), (218.9794813610701, 49.30761412721711), (445.76147911283095, -31.587346982074337)]","[(469.5, 17.5), (221.5, -4.5), (445.76147911283095, -31.587346982074337), (218.9794813610701, 49.30761412721711)]","[(469.5, 17.5), (445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837), (221.5, -4.5), (218.9794813610701, 49.30761412721711)]","[(221.5, -4.5), (218.21543051909586, -58.459570454710786), (218.9794813610701, 49.30761412721711), (469.5, 17.5), (453.94920930013785, 107.08837306904837)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(469.5, 17.5), (445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837)]",3,close,"[(469.5, 17.5), (445.76147911283095, -31.587346982074337), (453.94920930013785, 107.08837306904837)]","[(319.6122650963195, 344.36100243784864), (337.5365919231456, 292.86533742171116), (245.2676494270399, 396.7134789937578)]","[(-17.49999999999997, 469.5), (31.587346982074365, 445.76147911283095), (-107.08837306904834, 453.94920930013785)]","[(-344.3610024378486, 319.6122650963195), (-292.8653374217111, 337.5365919231456), (-396.7134789937578, 245.26764942703994)]","[(-469.5, -17.499999999999943), (-445.76147911283095, 31.58734698207439), (-453.94920930013785, -107.08837306904832)]","[(-319.61226509631956, -344.3610024378486), (-337.53659192314564, -292.8653374217111), (-245.26764942704, -396.7134789937578)]","[(17.499999999999915, -469.5), (-31.58734698207442, -445.76147911283095), (107.08837306904829, -453.94920930013785)]","[(344.3610024378485, -319.61226509631956), (292.86533742171105, -337.53659192314564), (396.71347899375775, -245.26764942704)]"
525,1,3,tangential,"[(387.5, -14.5), (201.5, -7.5)]","[(361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305), (209.29011617989056, -31.436619164009358), (184.79497771712488, 16.88078386986291)]","[(387.5, -14.5)]","[(361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305)]","[(387.5, -14.5), (361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305)]","[(201.5, -7.5)]","[(209.29011617989056, -31.436619164009358), (184.79497771712488, 16.88078386986291)]","[(201.5, -7.5), (209.29011617989056, -31.436619164009358), (184.79497771712488, 16.88078386986291)]",,,"[(387.5, -14.5), (361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305), (201.5, -7.5)]","[(201.5, -7.5), (209.29011617989056, -31.436619164009358), (184.79497771712488, 16.88078386986291), (387.5, -14.5)]","[(387.5, -14.5), (201.5, -7.5), (411.1954614327992, 48.320531606360305), (184.79497771712488, 16.88078386986291)]","[(387.5, -14.5), (361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305), (201.5, -7.5), (184.79497771712488, 16.88078386986291)]","[(201.5, -7.5), (209.29011617989056, -31.436619164009358), (184.79497771712488, 16.88078386986291), (387.5, -14.5), (411.1954614327992, 48.320531606360305)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(387.5, -14.5), (361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305)]",3,close,"[(387.5, -14.5), (361.25926926524414, -55.020935794388265), (411.1954614327992, 48.320531606360305)]","[(284.2569260369921, 263.7508293825822), (294.3545558713927, 216.5432022565095), (256.59132360286753, 324.9268747416601)]","[(14.500000000000023, 387.5), (55.020935794388286, 361.25926926524414), (-48.32053160636028, 411.1954614327992)]","[(-263.7508293825822, 284.2569260369921), (-216.54320225650943, 294.3545558713927), (-324.9268747416601, 256.59132360286753)]","[(-387.5, 14.500000000000048), (-361.25926926524414, 55.02093579438831), (-411.1954614327992, -48.320531606360255)]","[(-284.2569260369922, -263.7508293825822), (-294.3545558713927, -216.5432022565094), (-256.5913236028676, -324.9268747416601)]","[(-14.500000000000071, -387.5), (-55.02093579438833, -361.25926926524414), (48.32053160636023, -411.1954614327992)]","[(263.75082938258214, -284.2569260369921), (216.5432022565094, -294.3545558713927), (324.92687474166, -256.5913236028676)]"
772,1,3,tangential,"[(397.5, -7.5), (225.5, 5.5)]","[(415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434), (242.18153202528435, -30.245438359380785), (238.57124270886757, 34.865884327541266)]","[(397.5, -7.5)]","[(415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434)]","[(397.5, -7.5), (415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434)]","[(225.5, 5.5)]","[(242.18153202528435, -30.245438359380785), (238.57124270886757, 34.865884327541266)]","[(225.5, 5.5), (242.18153202528435, -30.245438359380785), (238.57124270886757, 34.865884327541266)]",,,"[(397.5, -7.5), (415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434), (238.57124270886757, 34.865884327541266)]","[(225.5, 5.5), (242.18153202528435, -30.245438359380785), (238.57124270886757, 34.865884327541266), (415.65609539289835, -67.10027279236226)]","[(397.5, -7.5), (225.5, 5.5), (415.65609539289835, -67.10027279236226), (238.57124270886757, 34.865884327541266)]","[(397.5, -7.5), (415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434), (225.5, 5.5), (242.18153202528435, -30.245438359380785)]","[(225.5, 5.5), (242.18153202528435, -30.245438359380785), (238.57124270886757, 34.865884327541266), (397.5, -7.5), (415.65609539289835, -67.10027279236226)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(397.5, -7.5), (415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434)]",3,close,"[(397.5, -7.5), (415.65609539289835, -67.10027279236226), (371.62087968231697, 44.612127727655434)]","[(286.37824638055173, 275.77164466275354), (341.3603016047875, 246.46618578289434), (231.23010601449084, 294.321182093262)]","[(7.500000000000024, 397.5), (67.10027279236229, 415.65609539289835), (-44.61212772765541, 371.62087968231697)]","[(-275.77164466275354, 286.37824638055173), (-246.46618578289429, 341.3603016047875), (-294.32118209326194, 231.23010601449087)]","[(-397.5, 7.500000000000049), (-415.65609539289835, 67.10027279236232), (-371.62087968231697, -44.61212772765539)]","[(-286.3782463805518, -275.77164466275354), (-341.36030160478754, -246.46618578289429), (-231.23010601449093, -294.32118209326194)]","[(-7.500000000000073, -397.5), (-67.10027279236233, -415.65609539289835), (44.61212772765536, -371.62087968231697)]","[(275.7716446627535, -286.3782463805518), (246.46618578289429, -341.36030160478754), (294.32118209326194, -231.23010601449093)]"
652,1,3,tangential,"[(247.5, 0.5), (430.5, 13.5)]","[(234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715), (433.5633730047991, -49.11503003190211), (425.490729293785, 57.303259480635006)]","[(247.5, 0.5)]","[(234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715)]","[(247.5, 0.5), (234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715)]","[(430.5, 13.5)]","[(433.5633730047991, -49.11503003190211), (425.490729293785, 57.303259480635006)]","[(430.5, 13.5), (433.5633730047991, -49.11503003190211), (425.490729293785, 57.303259480635006)]",,,"[(247.5, 0.5), (234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715), (425.490729293785, 57.303259480635006)]","[(430.5, 13.5), (433.5633730047991, -49.11503003190211), (425.490729293785, 57.303259480635006), (234.98501434617, -28.82725119983644)]","[(247.5, 0.5), (430.5, 13.5), (234.98501434617, -28.82725119983644), (433.5633730047991, -49.11503003190211)]","[(247.5, 0.5), (234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715), (430.5, 13.5), (433.5633730047991, -49.11503003190211)]","[(430.5, 13.5), (433.5633730047991, -49.11503003190211), (425.490729293785, 57.303259480635006), (247.5, 0.5), (234.98501434617, -28.82725119983644)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(247.5, 0.5), (234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715)]",3,close,"[(247.5, 0.5), (234.98501434617, -28.82725119983644), (264.44185500126497, 39.97808454951715)]","[(174.65537495307726, 175.3624817342638), (186.54344192776736, 145.77555231502257), (158.71985421713148, 215.25740358475693)]","[(-0.49999999999998485, 247.5), (28.827251199836454, 234.98501434617), (-39.978084549517135, 264.44185500126497)]","[(-175.36248173426378, 174.65537495307726), (-145.77555231502257, 186.54344192776733), (-215.2574035847569, 158.71985421713148)]","[(-247.5, -0.4999999999999697), (-234.98501434617, 28.827251199836468), (-264.44185500126497, -39.97808454951711)]","[(-174.65537495307728, -175.36248173426378), (-186.5434419277674, -145.77555231502257), (-158.7198542171315, -215.2574035847569)]","[(0.49999999999995454, -247.5), (-28.827251199836482, -234.98501434617), (39.9780845495171, -264.44185500126497)]","[(175.36248173426375, -174.65537495307728), (145.77555231502254, -186.54344192776736), (215.25740358475687, -158.7198542171315)]"
600,1,3,tangential,"[(424.5, 17.5), (210.5, -8.5)]","[(419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821), (216.83806419668534, -48.679337810725144), (211.83166166612455, 14.797938884417078)]","[(424.5, 17.5)]","[(419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821)]","[(424.5, 17.5), (419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821)]","[(210.5, -8.5)]","[(216.83806419668534, -48.679337810725144), (211.83166166612455, 14.797938884417078)]","[(210.5, -8.5), (216.83806419668534, -48.679337810725144), (211.83166166612455, 14.797938884417078)]",,,"[(424.5, 17.5), (419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821), (216.83806419668534, -48.679337810725144)]","[(210.5, -8.5), (216.83806419668534, -48.679337810725144), (211.83166166612455, 14.797938884417078), (419.93948727469115, -66.10766582641514)]","[(424.5, 17.5), (210.5, -8.5), (411.32003094587816, 106.79461295406821), (216.83806419668534, -48.679337810725144)]","[(424.5, 17.5), (419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821), (210.5, -8.5), (216.83806419668534, -48.679337810725144)]","[(210.5, -8.5), (216.83806419668534, -48.679337810725144), (211.83166166612455, 14.797938884417078), (424.5, 17.5), (419.93948727469115, -66.10766582641514)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(424.5, 17.5), (419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821)]",3,close,"[(424.5, 17.5), (419.93948727469115, -66.10766582641514), (411.32003094587816, 106.79461295406821)]","[(287.7924599429249, 312.54119728445403), (343.6872379342084, 250.1968803456637), (215.33198810567671, 366.3623781337054)]","[(-17.499999999999975, 424.5), (66.10766582641517, 419.93948727469115), (-106.79461295406819, 411.32003094587816)]","[(-312.541197284454, 287.7924599429249), (-250.19688034566363, 343.6872379342084), (-366.36237813370536, 215.33198810567671)]","[(-424.5, -17.499999999999947), (-419.93948727469115, 66.1076658264152), (-411.32003094587816, -106.79461295406816)]","[(-287.79245994292495, -312.541197284454), (-343.6872379342084, -250.1968803456636), (-215.33198810567671, -366.36237813370536)]","[(17.499999999999922, -424.5), (-66.10766582641521, -419.93948727469115), (106.79461295406814, -411.32003094587816)]","[(312.5411972844539, -287.79245994292495), (250.19688034566354, -343.6872379342084), (366.3623781337053, -215.33198810567674)]"
35,1,3,tangential,"[(391.5, -5.5), (225.5, 2.5)]","[(379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265), (237.74338328714663, -35.34124444741636), (220.7714670790763, 25.643409796150564)]","[(391.5, -5.5)]","[(379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265)]","[(391.5, -5.5), (379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265)]","[(225.5, 2.5)]","[(237.74338328714663, -35.34124444741636), (220.7714670790763, 25.643409796150564)]","[(225.5, 2.5), (237.74338328714663, -35.34124444741636), (220.7714670790763, 25.643409796150564)]",,,"[(391.5, -5.5), (379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265), (237.74338328714663, -35.34124444741636)]","[(225.5, 2.5), (237.74338328714663, -35.34124444741636), (220.7714670790763, 25.643409796150564), (391.5, -5.5)]","[(391.5, -5.5), (225.5, 2.5), (412.14398032473207, 53.100160570820265), (237.74338328714663, -35.34124444741636)]","[(391.5, -5.5), (379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265), (225.5, 2.5), (237.74338328714663, -35.34124444741636)]","[(225.5, 2.5), (237.74338328714663, -35.34124444741636), (220.7714670790763, 25.643409796150564), (391.5, -5.5), (412.14398032473207, 53.100160570820265)]",ws1_tangential_angle5_drctn0.csv,n3_posis_close,"[(391.5, -5.5), (379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265)]",3,close,"[(391.5, -5.5), (379.8279876434458, -81.0697068283335), (412.14398032473207, 53.100160570820265)]","[(280.72139213105936, 272.9432175380074), (325.9038851942407, 211.25400630000075), (253.88231969111155, 328.9772869345546)]","[(5.500000000000024, 391.5), (81.06970682833352, 379.8279876434458), (-53.100160570820236, 412.14398032473207)]","[(-272.94321753800733, 280.72139213105936), (-211.2540063000007, 325.9038851942407), (-328.97728693455457, 253.88231969111155)]","[(-391.5, 5.500000000000048), (-379.8279876434458, 81.06970682833354), (-412.14398032473207, -53.100160570820215)]","[(-280.7213921310594, -272.94321753800733), (-325.90388519424073, -211.25400630000067), (-253.8823196911116, -328.97728693455457)]","[(-5.500000000000072, -391.5), (-81.06970682833357, -379.8279876434458), (53.10016057082019, -412.14398032473207)]","[(272.9432175380073, -280.7213921310594), (211.25400630000067, -325.90388519424073), (328.9772869345545, -253.8823196911116)]"
